address,city,name,postalCode,province,websites
5812 NW Expressway,Oklahoma City,McDonald's,73132,OK,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
101 Thomas Garst Ln,Leland,Taco Bell,28451,NC,http://www.tacobell.comhttps://locations.tacobell.com/nc/leland/101-thomas-garst-lane.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=030564andutm_content=website
1111 New Pointe Blvd,Leland,McDonald's,28451,NC,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
782 Old Hickory Blvd Ste 120,Brentwood,Qdoba Mexican Grill,37027,TN,http://www.qdoba.comhttps://locations.qdoba.com/us/tn/brentwood/782-old-hickory-blvd.html
108 Village Rd NE,Leland,McDonald's,28451,NC,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
1116 Old Highway 60,Hardinsburg,McDonald's,40143,KY,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
1423 Southwest Pkwy,Wichita Falls,McDonald's,76302,TX,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://mcdonalds.com
908 Padre Blvd,South Padre Island,McDonald's,78597,TX,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://mcdonalds.com
1131n N Main St,Miami,McDonald's,74354,OK,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://mcdonalds.com
3401 Hwy 165 North,Pineville,Pizza Hut,71360,LA,http://www.pizzahut.com
1631 E Madison Ave,Bastrop,Sonic Drive-In,71220,LA,https://locations.sonicdrivein.com/la/bastrop/1631-e--madison.html
301 S Lynn Riggs Blvd,Claremore,Domino's Pizza,74017,OK,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps
601 E Lincolnway,Minerva,McDonald's,44657,OH,http://www.mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
3211 S 4th St,Leavenworth,SONIC Drive In,66048,KS,https://locations.sonicdrivein.com/ks/leavenworth/3211-s-fourth-street.html
105 Business Loop W,Jamestown,Taco Bell,58401,ND,http://www.tacobell.comhttps://locations.tacobell.com/nd/jamestown/105-business-loop-west.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=019434andutm_content=website
1531 University Dr S,Fargo,Domino's Pizza,58103,ND,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
718 10th St SE,Jamestown,Taco John's,58401,ND,https://www.tacojohns.comhttp://locations.tacojohns.com/nd/jamestown/718-10th-street-se.html
1400 24th Ave SW,Minot,McDonald's,58701,ND,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
703 S Magnolia St,Woodville,Whataburger,75979,TX,https://locations.whataburger.com/tx/woodville/703-s--magnolia.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpageshttps://locations.whataburger.com/tx/woodville/703-s--magnolia.html/
1535 S Broadway,Minot,Pizza Hut,58701,ND,http://www.pizzahut.com
775 S Main St,Smithfield,Domino's Pizza,84335,UT,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
218 W Main St,Ada,Hamburger King,74820,OK,
3208 S Elm Pl,Broken Arrow,SONIC Drive In,74012,OK,https://locations.sonicdrivein.com/ok/broken-arrow/3208-s-elm-place.html
3056 Classen Blvd Unit A,Norman,Domino's Pizza,73071,OK,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
982 Macon St,Warner Robins,Burger King,31098,GA,http://www.bk.comhttps://locations.bk.com/ga/warner-robins/982-macon-st.htmlhttps://www.bk.com
6060 San Mateo Blvd NE,Albuquerque,Burger King,87109,NM,http://www.bk.comhttps://locations.bk.com/nm/albuquerque/6060-san-mateo-ne.htmlhttps://www.bk.com
8401 Gateway Blvd W Ste M4,El Paso,McDonalds,79925,TX,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
450 N Harrison Ave,Shawnee,SONIC Drive In,74801,OK,https://locations.sonicdrivein.com/ok/shawnee/450-n--harrison.html
9455 SW Barbur Blvd,Portland,Taco Time,97219,OR,http://www.tacotime.com/stores/6254
351 River Hill Dr,Ashland,McDonald's,41101,KY,http://www.mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
18000 Bagley Rd,Cleveland,Burger King,44130,OH,http://www.bk.com
3700 N 1st Ave,Evansville,McDonald's,47710,IN,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
895 N Highway 77 Ste 300,Waxahachie,Jimmy John's,75165,TX,http://www.jimmyjohns.com
819 SW 19th St,Oklahoma City,Domino's Pizza,73160,OK,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps
95-1249 Meheula Parkway,Mililani,Jersey Mike's Subs,96789,HI,https://www.jerseymikes.com/44004http://www.jerseymikes.com
1625 Veterans Pkwy,Jeffersonville,Popeyes Louisiana Kitchen,47130,IN,http://www.popeyes.comhttp://popeyes.com
2730 S Hurstbourne Pkwy Suite 100,Louisville,Qdoba Mexican Grill,40220,KY,http://www.qdoba.comhttps://locations.qdoba.com/us/ky/louisville/2730-s-hurstbourne-pkwy.html
5680 Commercial St SE Ste 100,Salem,Domino's Pizza,97306,OR,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps
2870 W Loop 1604 S,San Antonio,Whataburger,78245,TX,https://locations.whataburger.com/tx/san-antonio/2870-w-loop-1604-s.html/https://locations.whataburger.com/tx/san-antonio/2870-w-loop-1604-s.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages
1321 Herr Ln Ste 150,Louisville,Qdoba Mexican Grill,40222,KY,https://locations.qdoba.com/us/ky/louisville/1321-herr-lane.htmlhttp://www.qdoba.com
100 Northside Dr,Bennington,Taco Bell,5201,VT,http://www.tacobell.comhttps://locations.tacobell.com/vt/bennington/100-northside-drive.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=033371andutm_content=website
6611 S Mo Pac Expy Ste B,Austin,Whataburger,78749,TX,https://locations.whataburger.com/tx/austin/6611-s-mo-pac-expy.html/https://locations.whataburger.com/tx/austin/6611-s-mo-pac-expy.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages
9300 S Interstate 35 Bldg H,Austin,Whataburger,78748,TX,https://locations.whataburger.com/tx/austin/9300-s-interstate-35.html/http://locations.whataburger.com
315 N Stephenson Ave,Iron Mountain,Hardee's,49801,MI,http://www.hardees.com
2439 Springs Rd NE,Hickory,McDonald's,28601,NC,http://www.mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
9651 Natural Bridge Rd,Saint Louis,Rally's,63134,MO,https://locations.rallys.com/mo/st.-louis/9651-natural-bridge-roadhttp://rallys.com
1665 Dove Park Rd Ste 300,Mandeville,Quiznos,70471,LA,http://restaurants.quiznos.com/la/mandeville/doveparkcommons-70471
225 Grant Ave,Auburn,Burger King,13021,NY,http://www.bk.comhttps://locations.bk.com/ny/auburn/225-grant-ave.html
5400 FM 1640 Rd Ste 500,Richmond,Whataburger,77469,TX,https://locations.whataburger.com/tx/richmond/5400-fm-1640-rd.html/https://locations.whataburger.com/tx/richmond/5400-fm-1640-rd.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages
2448 University Ave,Green Bay,Domino's Pizza,54302,WI,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps
111 Commons Dr,Maumelle,SONIC Drive In,72113,AR,https://locations.sonicdrivein.com/ar/maumelle/111-commons-drive.html
344 S Service Rd E,Sullivan,Taco Bell,63080,MO,http://www.tacobell.comhttps://locations.tacobell.com/mo/sullivan/344-s-service-rd-e.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029633andutm_content=website
6490 Memphis Arlington Rd Ste 103,Memphis,Domino's Pizza,38135,TN,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps
2124 S 1st St,Yakima,Taco Bell,98903,WA,https://locations.tacobell.com/wa/yakima/2124-s-1st-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=030512andutm_content=websitehttp://www.tacobell.com
482 Branson Landing Blvd Ste 105,Branson,Jimmy John's,65616,MO,http://www.jimmyjohns.com
406 S Thompson St,Springdale,Taco Bell,72764,AR,http://www.tacobell.comhttps://locations.tacobell.com/ar/springdale/406-s--thompson.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=003271andutm_content=website
5094 Murfreesboro Rd Ste 1,La Vergne,Domino's Pizza,37086,TN,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepage
801 S Vaughn Dr,Brusly,McDonald's,70719,LA,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://mcdonalds.com
5100 NC Highway 87 S Ste 102,Fayetteville,Domino's Pizza,28306,NC,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
Co-Op City,Bronx,Burger King,10475,NY,http://www.bk.com
3898 Cleveland Hwy,Dalton,McDonalds,30721,GA,http://mcdonalds.com
1865 Blankenship Rd,West Linn,Jack in the Box,97068,OR,http://www.jackinthebox.com
825 W 1100 S,Brigham City,Sonic Drive-In,84302,UT,https://locations.sonicdrivein.com/ut/brigham-city/825-west-1100-south.htmlhttp://sonicdrivein.com
955 S Main St,Brigham City,Taco Bell,84302,UT,http://www.tacobell.comhttps://locations.tacobell.com/ut/brigham-city/955-south-main-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=020036andutm_content=website
875 W 1150 S,Brigham City,Subway,84302,UT,http://www.subway.comhttp://subway.com
524 Indian Boundary Rd,Chesterton,Jimmy John's,46304,IN,http://www.jimmyjohns.com
801 University St,Martin,McDonald's,38237,TN,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://mcdonalds.com
2505 State Rd,La Crosse,Hardee's,54601,WI,http://www.hardees.com
1610 Sycamore View Rd,Memphis,McDonald's,38134,TN,http://www.mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
2437 George St,La Crosse,McDonald's,54603,WI,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
813 N Central Ave,Marshfield,Taco John's,54449,WI,https://www.tacojohns.comhttp://locations.tacojohns.com/wi/marshfield/813-n-central-avenue.html
1101 N Central Ave,Marshfield,McDonald's,54449,WI,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
4601 Northfield Rd,Cleveland,Mr Hero,44128,OH,http://www.mrhero.com
1601 W Lincoln Ave,Yakima,McDonald's,98902,WA,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://www.mcdonalds.com
5706 W 7800 S,West Jordan,McDonald's,84081,UT,http://www.mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
1014 Highway 82 E,Indianola,Taco Bell,38751,MS,http://www.tacobell.comhttps://locations.tacobell.com/ms/indianola/1014-highway-82.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=C412001andutm_content=website
640 Huebner Rd,Fort Riley,Domino's Pizza,66442,KS,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
1418 W Sunset Blvd,Saint George,Taco Bell,84770,UT,http://www.tacobell.comhttps://locations.tacobell.com/ut/saint-george/1418-west-sunset-blvd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=025391andutm_content=website
610 E Saint George Blvd,Saint George,Taco Bell,84770,UT,http://www.tacobell.comhttps://locations.tacobell.com/ut/saint-george/610-east-st-george-blvd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=025385andutm_content=website
4651 W 6th St,Lawrence,Pizza Hut,66049,KS,http://www.pizzahut.com
5540 Old Cheney Rd,Lincoln,Amigos/Kings Classic,68516,NE,http://www.facebook.com/amigoskingshttp://www.amigoskings.com
7501 W 135th St,Overland Park,Raising Cane's Chicken Fingers,66223,KS,http://raisingcanes.com
4204 Milan Rd,Sandusky,McDonalds,44870,OH,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
6300 Gulf Fwy,La Marque,Whataburger,77568,TX,https://locations.whataburger.com/tx/la-marque/6300-gulf-freeway.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpageshttps://locations.whataburger.com/tx/la-marque/6300-gulf-freeway.html/
1302 Highway 35 N,Rockport,McDonald's,78382,TX,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
3515 Springdale Rd,Cincinnati,Domino's Pizza,45251,OH,http://dominospizza.comhttp://www.dominos.com
7720 Laurel Ave,Cincinnati,Domino's Pizza,45243,OH,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
123 Creekside Xing,New Braunfels,Whataburger,78130,TX,https://locations.whataburger.com/tx/new-braunfels/123-creekside-crossing.html/https://locations.whataburger.com/tx/new-braunfels/123-creekside-crossing.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages
793 Roosevelt Trl,Windham,Burger King,4062,ME,http://www.bk.comhttps://locations.bk.com/me/windham/793-roosevelt-trl.htmlhttps://locations.bk.com/me/north-windham/793-roosevelt-trl.html
14700 E Indiana Ave,Spokane,Taco Time,99216,WA,http://www.tacotime.com/stores/6406
201 Commerce Dr,Jefferson City,SONIC Drive In,65109,MO,https://locations.sonicdrivein.com/mo/jefferson-city/201-commerce-drive.htmlhttp://sonicdrivein.com
3124 S Ten Mile Dr,Jefferson City,McDonald's,65109,MO,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
1417 Jackson Ave W,Oxford,Coop DeVille,38655,MS,http://www.coopdevillerecords.com
2984 Upland Pkwy,Sidney,McDonalds,69162,NE,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
1002 J St,Auburn,Amigos/Kings Classic,68305,NE,http://www.amigoskings.comhttp://www.facebook.com/amigoskings
191 7th St,Garden City,B. Good,11530,NY,https://bgood.com/locations/191-7th-street-garden-city-ny
544 Conestoga Pkwy,Shepherdsville,Domino's Pizza,40165,KY,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
101 Smith Rd,Glasgow,McDonald's,42141,KY,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
5212 Jackson St,Alexandria,Sonic Drive-In,71303,LA,https://locations.sonicdrivein.com/la/alexandria/5212-jackson-street.html
131 S Highway 27,Somerset,McDonald's,42501,KY,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://mcdonalds.com
1511 C Goff Blvd S W Plaza Rio Shpg Ctr,Albuquerque,Domino's Pizza,87105,NM,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
4800 Frederica St,Owensboro,McDonald's,42301,KY,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
300 W Esplanade Ave,Kenner,Burger King,70065,LA,http://www.bk.comhttps://locations.bk.com/la/kenner/300-w-esplanade-ave.htmlhttps://www.bk.com
5963 W Main St,Houma,Sonic Drive-In,70360,LA,https://locations.sonicdrivein.com/la/houma/5963-w-main-street.html
7849 Tramway Blvd NE Ste D,Albuquerque,Domino's Pizza,87122,NM,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
400 Clifty Dr,Madison,Rally's,47250,IN,https://locations.rallys.com/in/madison/400-clifty-drivehttp://rallys.com
1228 Saint Charles St,Houma,Taco Bell,70360,LA,http://www.tacobell.comhttps://locations.tacobell.com/la/houma/1228-saint-charles-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=024689andutm_content=website
725 Sterlington Hwy,Farmerville,Taco Bell,71241,LA,https://locations.tacobell.com/la/farmerville/725-sterlington-highway.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=G135477andutm_content=websitehttp://www.tacobell.com
1088 Westbank Expy,Westwego,Pizza Hut,70094,LA,http://www.pizzahut.com
1000 Government St,Baton Rouge,Sonic Drive-In,70802,LA,https://locations.sonicdrivein.com/la/baton-rouge/1000-government-street.html
314 E Carpenter St,Cleveland,Back Yard Burgers,38732,MS,http://www.backyardburgers.com
120 S Davis Ave,Cleveland,McDonald's,38732,MS,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
1231 Holcomb Blvd,Camp Lejeune,Wendy's,28547,NC,http://www.wendys.com
112 E 2nd St,Duluth,Domino's Pizza,55805,MN,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps
976 William H Wilson Ave Ste 100,Fort Stewart,Burger King,31314,GA,https://locations.bk.com/ga/fort-stewart/976-william-h-wilson-ave.htmlhttp://www.bk.com
2910 Lurleen B Wallace Blvd,Northport,Sonic Drive-In,35476,AL,https://locations.sonicdrivein.com/al/northport/2910-lurleen-b--wallace-blvd.html
2441 James St,Coralville,Domino's Pizza,52241,IA,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps
602 Highway 31 SW,Hartselle,Taco Bell,35640,AL,http://www.tacobell.comhttps://locations.tacobell.com/al/hartselle/602-highway-31-south.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029149andutm_content=website
107 Jordan Plz,Elizabeth City,Domino's Pizza,27909,NC,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps
905 W Corbett Ave,Swansboro,McDonalds,28584,NC,http://www.mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
2001 Sutton Ln,Sutton,Arby's,26601,WV,http://www.arbys.comhttp://arbys.com/our-menu
161 Church St,Burlington,Pacific Rim,5401,VT,
3716 7th St,Bay City,Taco Bell,77414,TX,https://locations.tacobell.com/tx/bay-city/3716-seventh-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=H758001andutm_content=websitehttp://www.tacobell.com
443 Killian Rd,Columbia,Panda Express,29203,SC,http://www.pandaexpress.com
122 Hayward Ave,Ames,Domino's Pizza,50014,IA,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
1306 Scotland Crossing Dr,Laurinburg,Taco Bell,28352,NC,http://www.tacobell.comhttps://locations.tacobell.com/nc/laurinburg/1306-scotland-crossing.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=004184andutm_content=website
1700 Norman Dr Spc 1056,Valdosta,Chick-fil-A,31601,GA,http://www.chick-fil-a.com/valdostamallhttp://www.chick-fil-a.com
502 W Columbia Ave,Batesburg,Hardee's,29006,SC,http://www.hardees.com
4965 Centre Pointe Dr,North Charleston,Domino's Pizza,29418,SC,https://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
2441 Northgate St,Ottumwa,McDonald's,52501,IA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
903 E Milam St,Mexia,McDonald's,76667,TX,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://mcdonalds.com
5131 Government St,Baton Rouge,Captain D's,70806,LA,https://locations.captainds.com/la/baton-rouge/5131-government-st.html
4021 Interstate Highway 69 Access Rd,Corpus Christi,Whataburger,78410,TX,https://locations.whataburger.com/tx/corpus-christi/4021-ih-69-access-rd.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpageshttps://locations.whataburger.com/tx/corpus-christi/4021-ih-69-access-rd.html/
839 E Mulberry St,Angleton,Jack in the Box,77515,TX,http://www.jackinthebox.com
3900 University Pkwy,Natchitoches,Sonic Drive-In,71457,LA,https://locations.sonicdrivein.com/la/natchitoches/3900-university-parkway.html
1855 Main Ave N,Tillamook,McDonald's,97141,OR,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://mcdonalds.com
400 Downs Blvd Ste 100,Franklin,Domino's Pizza,37064,TN,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmapshttps://www.dominos.com/en/?redirect=homepagehttps://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
808 E Liberty St,Mexico,SONIC Drive In,65265,MO,https://locations.sonicdrivein.com/mo/mexico/808-e--liberty.html
701 E Main St,Park Hills,SONIC Drive In,63601,MO,https://locations.sonicdrivein.com/mo/park-hills/701-e--main-street.html
3039 W Peoria Ave,Phoenix,Samurai Sam's,85029,AZ,http://www.samuraisams.net/stores/5017
324 W Bypass,Andalusia,Arby's,36420,AL,http://www.arbys.comhttps://locations.arbys.com/us/al/andalusia/324-west-bypass.html
1411 Q St,Lincoln,Amigos/Kings Classic,68508,NE,http://www.amigoskings.com
525 W Crawford St,Clay Center,SONIC Drive In,67432,KS,https://locations.sonicdrivein.com/ks/clay-center/525-w--crawford.html
5802 S Broadway Ave,Tyler,McDonald's,75703,TX,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
3112 N Navarro St,Victoria,McDonald's,77901,TX,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
2 N Mineral St,Keyser,Subway,26726,WV,http://www.subway.com
1845 Fry Rd,Katy,McDonald's,77449,TX,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
100 W Loop 340,Woodway,Whataburger,76712,TX,https://locations.whataburger.com/tx/waco/100-west-loop-340.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpageshttp://www.whataburger.com
104 E Grant St,Roma,McDonald's,78584,TX,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://www.mcdonalds.com
441 Craig St,Buffalo,McDonalds,75831,TX,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
2111 Ave F NW US 287,Childress,McDonald's,79201,TX,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
